region,macroregion,fecha,casos_covid,codigo_region,poblacion,n_pcr_dia,muertes_covid,pcr_acum,pcr_acum_pob,casos_covid_pob
Arica y Parinacota,Norte Grande,2020-03-03,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-04,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-05,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-06,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-07,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-08,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-09,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-10,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-11,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-12,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-13,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-14,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-15,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-16,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-17,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-18,0,15,252110,0,NA,0,0,0
Arica y Parinacota,Norte Grande,2020-03-19,1,15,252110,0,NA,0,0,0.03966522549680695
Arica y Parinacota,Norte Grande,2020-03-20,1,15,252110,0,NA,0,0,0.03966522549680695
Arica y Parinacota,Norte Grande,2020-03-21,1,15,252110,0,NA,0,0,0.03966522549680695
Arica y Parinacota,Norte Grande,2020-03-22,2,15,252110,0,0,0,0,0.0793304509936139
Arica y Parinacota,Norte Grande,2020-03-23,2,15,252110,0,0,0,0,0.0793304509936139
Arica y Parinacota,Norte Grande,2020-03-24,2,15,252110,0,0,0,0,0.0793304509936139
Arica y Parinacota,Norte Grande,2020-03-25,2,15,252110,0,0,0,0,0.0793304509936139
Arica y Parinacota,Norte Grande,2020-03-26,3,15,252110,0,0,0,0,0.11899567649042084
Arica y Parinacota,Norte Grande,2020-03-27,3,15,252110,0,0,0,0,0.11899567649042084
Arica y Parinacota,Norte Grande,2020-03-28,3,15,252110,0,0,0,0,0.11899567649042084
Arica y Parinacota,Norte Grande,2020-03-29,4,15,252110,0,0,0,0,0.1586609019872278
Arica y Parinacota,Norte Grande,2020-03-30,6,15,252110,0,0,0,0,0.23799135298084168
Arica y Parinacota,Norte Grande,2020-03-31,6,15,252110,0,0,0,0,0.23799135298084168
Arica y Parinacota,Norte Grande,2020-04-01,6,15,252110,0,0,0,0,0.23799135298084168
Arica y Parinacota,Norte Grande,2020-04-02,7,15,252110,0,0,0,0,0.27765657847764863
Arica y Parinacota,Norte Grande,2020-04-03,12,15,252110,0,0,0,0,0.47598270596168335
Arica y Parinacota,Norte Grande,2020-04-04,12,15,252110,0,0,0,0,0.47598270596168335
Arica y Parinacota,Norte Grande,2020-04-05,28,15,252110,0,0,0,0,1.1106263139105945
Arica y Parinacota,Norte Grande,2020-04-06,41,15,252110,0,0,0,0,1.6262742453690848
Arica y Parinacota,Norte Grande,2020-04-07,53,15,252110,0,0,0,0,2.1022569513307685
Arica y Parinacota,Norte Grande,2020-04-08,63,15,252110,0,0,0,0,2.498909206298838
Arica y Parinacota,Norte Grande,2020-04-09,75,15,252110,70,0,70,2.776565784776486,2.974891912260521
Arica y Parinacota,Norte Grande,2020-04-10,87,15,252110,0,0,70,2.776565784776486,3.4508746182222043
Arica y Parinacota,Norte Grande,2020-04-11,107,15,252110,93,0,163,6.465431755979532,4.244179128158343
Arica y Parinacota,Norte Grande,2020-04-12,115,15,252110,103,1,266,10.550949982150648,4.561500932132799
Arica y Parinacota,Norte Grande,2020-04-13,115,15,252110,0,1,266,10.550949982150648,4.561500932132799
Arica y Parinacota,Norte Grande,2020-04-14,120,15,252110,93,1,359,14.239815953353695,4.759827059616834
Arica y Parinacota,Norte Grande,2020-04-15,124,15,252110,24,1,383,15.191781365277063,4.918487961604062
Arica y Parinacota,Norte Grande,2020-04-16,129,15,252110,198,1,581,23.045496013644836,5.116814089088097
Arica y Parinacota,Norte Grande,2020-04-17,134,15,252110,131,2,712,28.241640553726548,5.315140216572131
Arica y Parinacota,Norte Grande,2020-04-18,142,15,252110,0,2,712,28.241640553726548,5.632462020546587
Arica y Parinacota,Norte Grande,2020-04-19,145,15,252110,155,2,867,34.38975050573163,5.751457697037007
Arica y Parinacota,Norte Grande,2020-04-20,161,15,252110,48,2,915,36.293681329578355,6.386101304985919
Arica y Parinacota,Norte Grande,2020-04-21,170,15,252110,52,2,967,38.356273055412316,6.743088334457181
Arica y Parinacota,Norte Grande,2020-04-22,180,15,252110,0,2,967,38.356273055412316,7.139740589425251
Arica y Parinacota,Norte Grande,2020-04-23,210,15,252110,169,2,1136,45.059696164372696,8.32969735432946
Arica y Parinacota,Norte Grande,2020-04-24,239,15,252110,85,3,1221,48.43124033160128,9.479988893736861
Arica y Parinacota,Norte Grande,2020-04-25,245,15,252110,90,3,1311,52.00111062631391,9.717980246717703
Arica y Parinacota,Norte Grande,2020-04-26,252,15,252110,73,3,1384,54.896672087580825,9.995636825195351
Arica y Parinacota,Norte Grande,2020-04-27,265,15,252110,146,3,1530,60.687795010114634,10.511284756653842
Arica y Parinacota,Norte Grande,2020-04-28,268,15,252110,80,3,1610,63.861013049859196,10.630280433144263
Arica y Parinacota,Norte Grande,2020-04-29,272,15,252110,61,4,1671,66.28059180516442,10.78894133513149
Arica y Parinacota,Norte Grande,2020-04-30,279,15,252110,84,4,1755,69.6124707468962,11.06659791360914
Arica y Parinacota,Norte Grande,2020-05-01,297,15,252110,124,4,1879,74.53095870850025,11.780571972551664
Arica y Parinacota,Norte Grande,2020-05-02,307,15,252110,87,4,1966,77.98183332672245,12.177224227519732
Arica y Parinacota,Norte Grande,2020-05-03,308,15,252110,41,4,2007,79.60810757209155,12.21688945301654
Arica y Parinacota,Norte Grande,2020-05-04,308,15,252110,89,4,2096,83.13831264130737,12.21688945301654
